Python 开发工程师,本科,武汉,B轮,深瞐科技,信息安全、数据服务,8k-12k,东湖新技术开发区,五险一金 定期体检 各种补助,50-150人,1-3年
Python开发工程师,本科,北京,上市公司,360,"移动互联网,游戏",15k-30k,朝阳区,大平台，福利好，成长快,2000人以上,1-3年
HY2-监控系统开发工程师-Python（深圳）,本科,深圳,上市公司,腾讯,"移动互联网 ,游戏",18k-30k,南山区,"五险一金,绩效奖金,带薪休假",2000人以上,3-5年
资深python开发工程师,本科,深圳,上市公司,Gridsum 国双,"数据服务,企业服务",15k-25k,福田区,大数据上市公司 福利待遇好 成长空间大,500-2000人,5-10年
高级Python开发工程师,本科,北京,C轮,果壳网,"移动互联网,社交网络",20k-40k,朝阳区,"八险一金,免费三餐,不加班,弹性工作",150-500人,3-5年
Python软件工程师,本科,北京,上市公司,Veeva,"移动互联网,企业服务",15k-25k,朝阳区,"纽交所上市,云计算,SaaS,股票",500-2000人,1-3年
Python软件开发工程师,本科,深圳,不需要融资,深信服科技集团,"信息安全,企业服务",15k-20k,南山区,"平台大,发展快,待遇好,福利棒",2000人以上,1-3年
Python开发工程师（深圳）,本科,深圳,不需要融资,平安科技,金融,15k-30k,福田区,世界500强，丰厚奖金,2000人以上,3-5年
高级Python开发工程师,本科,深圳,D轮及以上,极光,"移动互联网,数据服务",15k-25k,南山区,五险一金、14薪/年、下午茶、工作餐等等,150-500人,3-5年
Python 高级开发工程师,本科,北京,C轮,Face++,"移动互联网,硬件",20k-40k,海淀区,"人工智能,黑科技,大牛多",500-2000人,3-5年
Python开发工程师,本科,深圳,上市公司,腾讯,"移动互联网 ,游戏",15k-25k,南山区,福利待遇优厚、大平台,2000人以上,3-5年
Python开发工程师,本科,北京,不需要融资,深信服科技集团,"信息安全,企业服务",12k-20k,西城区,中国卓越雇主，扁平管理，有竞争力的薪资,2000人以上,1-3年
Python开发工程师,本科,郑州,B轮,青松,"移动互联网,企业服务",8k-10k,高新区,"五险一金,年度旅游,年度体检,餐补",15-50人,3-5年
高级Python工程师-CD2818,本科,成都,未融资,贝壳金控,金融、移动互联网,15k-25k,高新区,业务发展前景好，团队技术氛围浓厚,500-2000人,3-5年
Python高级研发工程师-度假事业部(J11528),本科,北京,不需要融资,去哪儿网,移动互联网,20k-40k,海淀区,团队氛围融洽，帅哥美女多，年假多，年终奖,2000人以上,3-5年
Python开发工程师,本科,北京,B轮,助理来也,移动互联网,15k-30k,海淀区,"人工智能,弹性工作,扁平管理,技术牛人",50-150人,1-3年
python工程师,大专,武汉,不需要融资,北蚁,"电子商务,移动互联网",8k-10k,东湖新技术开发区,"五险一金,员工旅游,休闲餐点,扁平管理",50-150人,3-5年
Python开发工程师,本科,北京,上市公司,汽车之家,"移动互联网,文化娱乐",15k-25k,海淀区,平台好，发展空间大,2000人以上,3-5年
Python工程师,硕士,北京,天使轮,云游九州,数据服务、企业服务,10k-20k,海淀区,"年度旅游,互联网平台,硬科技,弹性上班时",15-50人,1-3年
python开发工程师,本科,北京,A轮,嘉楠捷思,硬件,15k-20k,海淀区,弹性,150-500人,3-5年
Python开发工程师,本科,北京,B轮,朗播网,教育,20k-40k,海淀区,"出国旅游,免费健身,股票期权,带薪年假",150-500人,5-10年
python工程师,本科,北京,不需要融资,家园网,O2O,15k-25k,东城区,"股票期权,绩效奖金",2000人以上,3-5年
python开发工程师,本科,北京,B轮,老虎证券,"移动互联网,金融",20k-40k,朝阳区,"加班少,福利好",150-500人,1-3年
python工程师,不限,上海,A轮,壤歌,"移动互联网,企业服务",10k-15k,徐汇区,"弹性上班,技术氛围,技术驱动,福利多多",50-150人,1-3年
Python开发工程师,本科,苏州,天使轮,苏州锦佰安,信息安全,12k-24k,工业园区,"人工智能,前景广阔,福利齐全,技术领先",15-50人,3-5年
Python开发工程师,本科,北京,上市公司,影谱科技,"文化娱乐,广告营销",15k-25k,东城区,"上市公司,项目奖金,全额社保,各种补助",50-150人,3-5年
算法工程师（python）,硕士,成都,C轮,BBD,"电子商务,数据服务",8k-16k,高新区,"五险一金,技术大牛,大数据,加班补贴",150-500人,不限
python开发工程师,本科,北京,B轮,途游,"移动互联网,游戏",15k-25k,朝阳区,"施展空间大,季度奖,年终奖",150-500人,3-5年
Python开发工程师,本科,北京,未融资,奇虎360金融,"移动互联网,金融",20k-30k,朝阳区,核心业务，角色重要，成长空间大,500-2000人,3-5年
Python工程师,本科,北京,A轮,开拓天际,"数据服务,信息安全",15k-23k,海淀区,"领导好,福利好,团队优秀",50-150人,3-5年
Python工程师,不限,长沙,不需要融资,辰运软件,移动互联网,10k-15k,岳麓区,"五险一金,年底双薪,交通补助,餐补",150-500人,不限
Python 开发工程师,本科,武汉,B轮,深瞐科技,信息安全、数据服务,8k-12k,东湖新技术开发区,五险一金，带薪年假，补贴,50-150人,1-3年
python工程师,本科,深圳,B轮,笨鸟社交,企业服务,20k-40k,南山区,海量数据,150-500人,1-3年
Python开发工程师,大专,郑州,未融资,郑州创恒实业有限公司,移动互联网,5k-10k,金水区,"周末双休,年底双薪,全勤奖,外出旅游",150-500人,1-3年
python开发工程师,本科,北京,C轮,会分期,移动互联网、金融,15k-30k,海淀区,"股票期权,弹性工作制,行业龙头,地铁周边",150-500人,3-5年
Python,本科,北京,上市公司,Veeva,"移动互联网,企业服务",25k-35k,朝阳区,"纽交所上市,云计算,SaaS,生命科学",500-2000人,3-5年
Python,本科,北京,B轮,省钱快报,"移动互联网,电子商务",15k-30k,东城区,海量数据、氛围轻松、项目奖金,50-150人,1-3年
Python开发工程师,本科,上海,不需要融资,上海华瑞银行,金融,20k-40k,浦东新区,"六险两金,年度体检,绩效奖金,渠道晋升",150-500人,3-5年
Python开发工程师,本科,北京,A轮,摩尔妈妈,移动互联网,30k-50k,朝阳区,"高薪,氛围轻松,成长空间大,背景好",15-50人,3-5年
Python Web开发工程师,大专,北京,C轮,洋葱数学,"移动互联网,教育",10k-20k,朝阳区,"年假15天,免费早午餐,弹性工作制,极客范儿",150-500人,1-3年
