Python开发工程师,本科,深圳,B轮,回收宝,"移动互联网,电子商务",15k-22k,南山区,"腾讯系团队,大牛导师多,发展前景广,薪资待遇好",150-500人,3-5年
Python开发工程师,本科,北京,B轮,学堂在线,"移动互联网,教育",15k-25k,海淀区,股票期权，五险一金，交补餐补，零食水果,150-500人,3-5年
Python,本科,深圳,B轮,花果山,电子商务,5k-8k,南山区,年轻富有活力的团队，稳步发展的创业公司。,150-500人,1-3年
Python中级工程师,本科,廊坊,A轮,ZingFront智线,"移动互联网,数据服务",8k-15k,广阳区,"五险一金,补充医疗险,房租补贴,带薪年假",50-150人,1-3年
python开发工程师,本科,北京,天使轮,江山如画网络科技,"移动互联网,社交网络",8k-16k,海淀区,"提供住宿,一日三餐,晋升空间,紫牛基金投",少于15人,1-3年
PYTHON研发工程师,本科,北京,上市公司,麦达数字,"企业服务,数据服务",25k-35k,朝阳区,"上市公司,五险一金,薪酬福利好,发展空间大",500-2000人,3-5年
python工程师,本科,上海,C轮,上海青客,"移动互联网,O2O",15k-25k,徐汇区,年终奖，加班补贴，工作环境,500-2000人,3-5年
python开发工程师,本科,北京,未融资,创新工场AI工程院,移动互联网,15k-30k,海淀区,"谷歌大牛,商业资源,成长空间大,人工智能",50-150人,1-3年
Python开发工程师,本科,北京,B轮,优识云创,移动互联网,15k-25k,海淀区,"14薪,五险一金,地铁周边,扁平化管理",50-150人,3-5年
Python开发工程师,本科,北京,C轮,玖富集团,金融,20k-35k,朝阳区,"六险一金,年终奖金,带薪年假,晋升空间大",2000人以上,不限
高级Python开发工程师,本科,北京,A轮,弥财,金融,20k-40k,朝阳区,"金融科技,行业先驱,技术大牛,优秀同事",15-50人,5-10年
Python开发工程师,大专,杭州,不需要融资,武汉佰钧成技术有限公司,移动互联网,9k-14k,余杭区,"纯纯技术团,魅力领导,带薪年假,周末双休",2000人以上,1-3年
Python,大专,深圳,未融资,博奥特科技,"移动互联网,金融",10k-20k,福田区,"行业前景好,发展空间大",150-500人,1-3年
Python高级开发工程师,大专,武汉,不需要融资,北蚁,"电子商务,移动互联网",10k-15k,东湖新技术开发区,"五险一金,绩效奖金,休闲餐点",50-150人,5-10年
Python开发,本科,深圳,不需要融资,博悦科创,移动互联网,9k-18k,福田区,项目好，福利好发展好,500-2000人,1-3年
python开发工程师,本科,上海,不需要融资,华钦科技,"金融,招聘",20k-35k,浦东新区,"知名外资,弹性工作",500-2000人,5-10年
中级python工程师,本科,北京,不需要融资,家园网,O2O,15k-25k,东城区,绩效奖金 股票期权 14薪,2000人以上,3-5年
Python研发工程师,本科,上海,A轮,DAOCLOUD,"企业服务,数据服务",15k-30k,杨浦区,"15天年假,技术大牛,年终多薪,豪华团队",150-500人,3-5年
Python开发,本科,上海,B轮,问卷网@爱调研,移动互联网,12k-24k,徐汇区,"五险一金,季度旅游,生日会,带薪年假",150-500人,3-5年
python开发工程师,本科,北京,上市公司,联想集团,"移动互联网,数据服务",13k-20k,海淀区,大平台，发展前景好,2000人以上,3-5年
python开发工程师,大专,深圳,B轮,掌贝（云移科技）,"移动互联网,O2O",12k-18k,福田区,五险一金 定期培训 年度体检 生日福利,500-2000人,3-5年
Python后端工程师,本科,北京,C轮,Face++,"移动互联网,硬件",25k-50k,海淀区,大牛多,500-2000人,3-5年
Python开发工程师,本科,深圳,A轮,杉岩数据,"企业服务,数据服务",10k-16k,南山区,"扁平化管理,发展空间大,产品有竞争,氛围融洽",15-50人,1-3年
Python后台开发,本科,北京,B轮,晶泰科技,"企业服务,医疗健康",10k-18k,海淀区,"工作居住证,五险一金,带薪年假,MIT大牛",50-150人,1-3年
Python开发工程师,大专,广州,上市公司,广州玖维信息科技有限公司,"移动互联网,数据服务",3k-5k,海珠区,"周末双休,五险一金,节日福利,房补餐补",150-500人,1年以下
Python软件开发工程师,本科,上海,B轮,阿基米德fm,"移动互联网,电子商务",15k-22k,长宁区,五险一金、补充公积金、13薪、饭贴,50-150人,1-3年
Python工程师,大专,深圳,A轮,柚子街,"移动互联网,O2O",8k-12k,南山区,"业界前沿,业绩激励,免费饮料,弹性工作",15-50人,1年以下
Python工程师,本科,北京,B轮,学堂在线,"移动互联网,教育",15k-25k,海淀区,来吧，与技术大牛过招吧！,150-500人,1-3年
高级Python开发工程师,本科,北京,上市公司,Veeva,"移动互联网,企业服务",35k-45k,朝阳区,"纽交所上市,云计算,SaaS,股票",500-2000人,5-10年
Python开发师,本科,上海,B轮,问卷网@爱调研,移动互联网,12k-24k,徐汇区,"五险一金,季度旅游,节日福利,带薪年假",150-500人,3-5年
Python开发工程师,大专,杭州,不需要融资,武汉佰钧成技术有限公司,移动互联网,11K-22K,西湖区,"平台好,技术新,大牛多",2000人以上,1-3年
Python开发工程师,本科,上海,B轮,信用飞/首付游,移动互联网,15k-25k,徐汇区,"年轻团队,扁平管理,弹性工作,简单透明",50-150人,1-3年
Python工程师,大专,广州,上市公司,广州玖维信息科技有限公司,"移动互联网,数据服务",3k-5k,海珠区,"周末双休,五险一金,节日福利,房补餐补",150-500人,1年以下
Python高级开发工程师,大专,武汉,不需要融资,北蚁,"电子商务,移动互联网",10k-15k,东湖新技术开发区,"五险一金,休闲餐点,员工聚餐",50-150人,5-10年
python,本科,北京,C轮,The ONE,"硬件,教育",20k-30k,朝阳区,"免费午晚餐,五险一金,交补,年终奖",150-500人,3-5年
python工程师,本科,上海,C轮,上海青客,"移动互联网,O2O",15k-25k,徐汇区,办公环境，年终奖，晋升,500-2000人,3-5年
Python开发工程师,本科,北京,B轮,瓜子二手车直卖网,O2O,20k-40k,海淀区,最高19薪 独角兽公司 学习型团队,2000人以上,3-5年
Python开发工程师,本科,北京,不需要融资,iHandy,"移动互联网,社交网络",10k-20k,海淀区,"硅谷氛围,高手如云,零食水果",150-500人,1-3年
Python 开发工程师,本科,上海,B轮,竹间智能科技(上海)有限公司,"移动互联网,其他",20k以上,徐汇区,发展空间大 期权激励 弹性工作,150-500人,不限
Python开发工程师,本科,北京,未融资,北京神黄科技股份有限公司,"医疗健康,移动互联网",15k-30k,东城区,五险工作居住证年终奖带薪假团建培训交补,50-150人,1-3年
Python开发工程师,大专,深圳,未融资,新炬网络,"移动互联网,数据服务",10k-15k,福田区,"平台大,发展前景好,五险一金,资深团队",500-2000人,1-3年
Software Engineer -Python,本科,北京,上市公司,Veeva,"移动互联网,企业服务",25k-35k,朝阳区,"纽交所上市,云计算,SaaS,生命科学",500-2000人,3-5年
Python开发工程师,本科,上海,A轮,谷露软件,"数据服务,招聘",13k-25k,黄浦区,"工程师文化,年轻,大牛,爽",50-150人,不限
python工程师,大专,武汉,B轮,推想科技,"医疗健康,数据服务",6k-12k,硚口区,"人工智能,快速成长,弹性工时,年终奖丰厚",50-150人,1年以下
Python工程师,本科,深圳,不需要融资,江苏亿科达,"移动互联网,金融",10k-20k,福田区,"大平台,交通便利,环境优美,福利待遇好",500-2000人,1-3年
Python开发工程师,本科,上海,不需要融资,趣头条,移动互联网,15k-30k,浦东新区,发展空间,500-2000人,5-10年
python中级开发工程师,大专,长沙,A轮,楼盘网,"移动互联网,电子商务",6k-10k,天心区,"互联网行业,朝九晚五,2次加薪,五险",150-500人,1-3年
Python Web开发工程师,大专,北京,C轮,洋葱数学,"移动互联网,教育",10k-20k,朝阳区,"年假15天,免费早午餐,弹性工作制,极客范儿",150-500人,1-3年
Python,本科,北京,B轮,省钱快报,"移动互联网,电子商务",15k-30k,东城区,海量数据、氛围轻松、项目奖金,50-150人,1-3年
Linux C++/Python开发工程师,大专,北京,B轮,好巧,数据服务,15k-20k,朝阳区,"双休,高速发展,扁平管理,五险一金",150-500人,3-5年
资深Python开发工程师（北京）,本科,北京,上市公司,Gridsum 国双,"数据服务,企业服务",20k-30k,海淀区,上市公司 前景佳 氛围好 牛人多,500-2000人,3-5年
Python,本科,成都,不需要融资,捷云智慧,移动互联网,8k-12k,高新区,"绩效奖金,带薪年假",15-50人,1-3年
Python,本科,北京,B轮,瓜子二手车直卖网,O2O,20k-30k,,核心项目 BI方向 等你来挑战,2000人以上,1-3年
Python开发工程师[亦庄],本科,北京,不需要融资,天润融通,"企业服务,数据服务",15k-30k,大兴区,"AI,机器学习",150-500人,不限
Python开发工程师,大专,深圳,A轮,奥飞游戏深圳分公司,游戏,8k-12k,南山区,"靠谱团队,项目给力,福利多多",150-500人,1-3年
python工程师,不限,贵阳,未融资,贵州电商云,"电子商务,数据服务",10k-15k,观山湖区（金阳新区）,"五险一金,餐补",50-150人,不限
高级Python开发工程师,本科,北京,上市公司,Veeva,"移动互联网,企业服务",25k-35k,朝阳区,"纽交所上市,云计算,SaaS,生命科学",500-2000人,5-10年
python工程师,不限,贵阳,未融资,贵州电商云,"电子商务,数据服务",10k-15k,观山湖区（金阳新区）,"五险一金,餐补",50-150人,不限
Python后端工程师,本科,北京,C轮,果壳网,"移动互联网,社交网络",10k-20k,朝阳区,成长空间 五险一金 补充医疗 包三餐,150-500人,不限
高级Python开发工程师,本科,北京,不需要融资,NewsJet,移动互联网,25k-45k,海淀区,"Geek范,清华系,福利待遇好,股票期权",50-150人,3-5年
资深python开发工程师,本科,上海,A轮,1Token.Trade,"移动互联网,金融",25k-35k,杨浦区,"时间自由,技术先进,区块链,一年多薪",15-50人,3-5年
Python,本科,深圳,A轮,乐易网络,"移动互联网,游戏",15k-30k,南山区,"海外手游,高配团队,两次调薪,年终奖",150-500人,3-5年
中级PYTHON开发工程师,大专,深圳,未融资,博奥特科技,"移动互联网,金融",22k-25k,福田区,"提升空间大,行业前景广,金融行业",150-500人,5-10年
python开发工程师(东莞),大专,东莞,不需要融资,泽林信息,教育,5k-8k,东莞市市辖区,"五险一金,弹性工作,办公环境好,年底双薪",500-2000人,1-3年
Python 开发工程师,本科,深圳,上市公司,贝尔机器人,其他,15k-30k,南山区,"发展晋升,项目奖多,内部培训,福利津贴",500-2000人,3-5年
Python开发工程师,本科,北京,C轮,今日头条,"移动互联网,数据服务",20k-35k,海淀区,六险一金，弹性工作，免费三餐，租房补贴，带薪休假，休闲下午茶，扁平管理，健身瑜伽，过亿用户，职业大牛，晋升空间，团队氛围好，优厚薪资,2000人以上,1-3年
Python工程师,本科,北京,D轮及以上,好大夫在线,医疗健康,18k-35k,朝阳区,"大公司,大平台,机会多,六险一金",500-2000人,不限
Python开发工程师,本科,北京,A轮,人人贷,金融,8k-16k,海淀区,"团队好,技术氛围浓",500-2000人,1-3年
python开发工程师,本科,西安,上市公司,绿盟科技,信息安全,9k-15k,雁塔区,五险一金；弹性工作；餐补；定期体检,500-2000人,1-3年
Python开发工程师-base北京,不限,北京,上市公司,游族网络,"移动互联网,游戏",12k-18k,东城区,福利好、待遇好、上市公司,500-2000人,3-5年
Python工程师,本科,北京,天使轮,企鹅创新,"硬件,移动互联网",25k-35k,朝阳区,"Djang,主流Web,数据库",15-50人,1-3年
高级Python开发工程师,本科,大连,上市公司,Veeva,"移动互联网,企业服务",16k-25k,沙河口区,"纽交所上市,云计算,SaaS,股票",500-2000人,5-10年
python 开发工程师,本科,上海,A轮,1Token.Trade,"移动互联网,金融",10k-20k,杨浦区,"时间自由,技术先进,区块链",15-50人,1-3年
资深python研发工程师（深圳）,本科,深圳,上市公司,Gridsum 国双,"数据服务,企业服务",15k-25k,福田区,弹性工作制 上市公司 氛围好 空间大,500-2000人,3-5年
python开发工程师,本科,武汉,未融资,武汉安天,移动互联网,7k-13k,武昌区,"弹性工作,试用不打折,员工旅游,周末双休",150-500人,1-3年
python研发工程师,本科,成都,A轮,链商,"移动互联网,电子商务",8k-15k,高新区,"带薪年假,零食无限,福利多多,美女如云",150-500人,1-3年
python开发工程师,大专,深圳,不需要融资,江苏亿科达,"移动互联网,金融",10k-20k,福田区,"双休,过节费,年度体检,旅游",500-2000人,3-5年
Python 开发工程师,本科,杭州,C轮,Club Factory,"电子商务,移动互联网",15k-20k,西湖区,"高并发,高流量,技术成长快,世界级产品",150-500人,1-3年
Python工程师,本科,北京,A轮,掌控,"移动互联网,电子商务",8k-15k,海淀区,"补充医疗,出国旅游,带薪年假,绩效奖金",15-50人,1-3年
Python工程师,本科,上海,A轮,谷露软件,"数据服务,招聘",15k-25k,黄浦区,"工程师文化,大牛,高薪",50-150人,1-3年
Python工程师,本科,广州,不需要融资,武汉佰钧成技术有限公司,移动互联网,10k-15k,天河区,"弹性上下班,六险一金,周末双休",2000人以上,不限
Python开发工程师,本科,北京,上市公司,东方国信,数据服务,18k-25k,朝阳区,"公司前景好,优秀团队,带薪年假",2000人以上,5-10年
Python开发工程师,本科,深圳,上市公司,众禄基金,"移动互联网,金融",18k-25k,罗湖区,"新三板挂牌,团队氛围,金融中心",150-500人,1-3年
Python 开发工程师,大专,成都,不需要融资,NEXA,"移动互联网,游戏",8k-15k,锦江区,"五险一金,带薪年假,年度体检,各种补贴",150-500人,3-5年
Python开发工程师,本科,北京,B轮,多点Dmall,"电子商务,O2O",10k-20k,海淀区,"平台大,福利好,氛围好,互联网电商",500-2000人,3-5年
中级python工程师,本科,北京,不需要融资,家园网,O2O,15k-25k,东城区,"股票期权,绩效奖金",2000人以上,3-5年
高级python工程师,本科,北京,不需要融资,家园网,O2O,18k-30k,东城区,"股票期权,绩效奖金",2000人以上,5-10年
Python资深开发,本科,上海,B轮,问卷网@爱调研,移动互联网,12k-24k,徐汇区,"带薪年假,股票期权,下午茶,季度旅游",150-500人,3-5年
Python高级开发工程师,本科,北京,B轮,微车,"移动互联网,O2O",20k-30k,海淀区,一日三餐、带薪年假、弹性工作、六险一金,150-500人,3-5年
高级python开发工程师,本科,北京,C轮,会分期,移动互联网、金融,15k-30k,海淀区,"弹性工作制,股票期权,行业巨头,地铁周边",150-500人,3-5年
Python工程师,本科,厦门,不需要融资,10com,"移动互联网,电子商务",10k-20k,思明区,"弹性工作,扁平管理,家属福利,五险一金",15-50人,3-5年
Python工程师,本科,上海,不需要融资,米闲,"移动互联网,企业服务",10k-20k,普陀区,"追求极客,业务明确",15-50人,1-3年
Python/Golang开发工程师,本科,北京,B轮,Yi+,移动互联网,20k-40k,海淀区,"股票期权,绩效奖金,晋升空间,技术大牛",50-150人,1-3年
资深Python工程师（深圳）,本科,深圳,上市公司,Gridsum 国双,"数据服务,企业服务",20k-30k,福田区,上市公司 前景佳 氛围好 牛人多,500-2000人,5-10年
Python,本科,深圳,上市公司,金证股份,金融,9k-16k,福田区,"上市公司,办公环境好,薪资福利好,五险一金",2000人以上,3-5年
Python工程师,本科,长沙,未融资,康通,移动互联网,7K-14K,芙蓉区,"五险一金,亲属关爱金,免费中晚餐,福利齐全",150-500人,1-3年
Python开发工程师,本科,北京,B轮,妙计旅行,旅游,8k-16k,东城区,包三餐，年终奖，福利优厚,150-500人,1-3年
Python开发工程师,本科,杭州,上市公司,沃趣科技,"企业服务,数据服务",11k-22k,,精英团队、股票期权，购房贷款、丰厚奖金,50-150人,3-5年
python软件工程师助理/python程序员双休,大专,无锡,未融资,燃网络,"移动互联网,游戏",3k-6k,崇安区,"年终奖,五险一金,双休不加班,节日福利",少于15人,1年以下
Python中级工程师,本科,北京,A轮,ZingFront智线,"移动互联网,数据服务",15k-24k,朝阳区,"五险一金,补充医疗险,带薪年假,弹性工作",50-150人,3-5年
Python工程师J10008,本科,北京,C轮,TalkingData,移动互联网,20k-30k,东城区,"大数据,独角兽,技术成长,行业大牛",500-2000人,不限
Python,本科,苏州,B轮,问卷网@爱调研,移动互联网,6k-12k,工业园区,"带薪年假,定期体检,五险一金,福利多多",150-500人,1-3年
python开发工程师,本科,上海,不需要融资,通联数据,金融,10k-20k,虹口区,提供午餐晚餐、补充医疗保险、交通通讯补助,150-500人,3-5年
Python开发工程师兼高级铲屎官,本科,上海,不需要融资,君学中国,文化娱乐,8k-15k,浦东新区,"办公环境好,扁平化管理",150-500人,1-3年
Python,本科,上海,天使轮,知助数据,"数据服务,企业服务",12k-17k,浦东新区,"前沿研究,弹性工作,员工期权",少于15人,不限
Python开发工程师,本科,深圳,不需要融资,万科物业,"O2O,生活服务",15k-30k,福田区,"平台好,空间大",2000人以上,3-5年
Python开发工程师（码隆科技）,本科,深圳,不需要融资,微创,"移动互联网,电子商务",10k-20k,盐田区,"六险一金,带薪病假,节假日福利,技术氛围浓",2000人以上,1-3年
搜狐媒体-社交产品中心-Python工程师,本科,北京,上市公司,搜狐集团,"移动互联网,广告营销",20k-30k,海淀区,通行证业务,2000人以上,1-3年
高级Python开发工程师,本科,上海,B轮,华尔街见闻,"金融,移动互联网",15k-22k,黄浦区,五险一金,150-500人,3-5年
Python开发工程师,本科,北京,上市公司,联想集团,"移动互联网,数据服务",17k-18k,海淀区,平台好 福利待遇优厚,2000人以上,3-5年
Python开发工程师,本科,深圳,上市公司,万兴科技股份有限公司,移动互联网,10k-20k,南山区,"在线高并发,技术难度大,运维要求高",150-500人,3-5年
系统开发工程师（Python）,本科,北京,B轮,学堂在线,"移动互联网,教育",20k-30k,海淀区,"五险一金,餐补,生日会,优秀团队",150-500人,5-10年
Python 开发工程师,大专,上海,A轮,两鲜,电子商务,10k-15k,浦东新区,"氛围轻松,大牛带教",150-500人,1-3年
高级Python工程师,本科,北京,A轮,摩尔妈妈,移动互联网,25k-50k,朝阳区,"技术大牛,0-1项目,技术驱动,创业氛围",15-50人,3-5年
python高级开发工程师,本科,上海,B轮,Zenlayer,"数据服务,移动互联网",15k-26k,静安区,"五险一金,晋升空间,团队优势,年度旅游",50-150人,3-5年
Python工程师,本科,北京,B轮,新东方教育行业研究院,"移动互联网,教育",10k-20k,海淀区,"待遇好,大牛多,平台好",150-500人,1-3年
Python开发,本科,苏州,B轮,问卷网@爱调研,移动互联网,15k-25k,工业园区,"带薪年假,五险一金,期权奖励,定期体检",150-500人,3-5年
python工程师,大专,苏州,不需要融资,梦嘉信息,"移动互联网,电子商务",6k-10k,工业园区,"项目奖金,年终奖金,团建福利,生日惊喜",150-500人,1-3年
Python高级工程师,不限,北京,A轮,中科视拓,企业服务,25k-40k,海淀区,"五险一金,团建津贴,免费体检,节日礼金",50-150人,1-3年
高级python开发工程师,本科,北京,上市公司,CIG,广告营销,15k-30k,海淀区,学习和创新型团队，扁平化管理，氛围open,500-2000人,3-5年
Python开发工程师,本科,北京,A轮,美利金融,"移动互联网,金融",15k-30k,朝阳区,"大牛团队,年底绩效",2000人以上,5-10年
高级Python研发工程师,本科,北京,不需要融资,格上添富,"移动互联网,金融",20k-35k,朝阳区,"水果零食,扁平化管理,弹性工作",150-500人,5-10年
python开发工程师,本科,武汉,A轮,优维科技,"移动互联网,企业服务",6k-12k,洪山区,"期权激励,五险一金,年终旅游,带薪年假",50-150人,1-3年
Python开发工程师,大专,深圳,上市公司,易博天下,"移动互联网,O2O",11k-20k,南山区,平台好 高速增长 股票期权 创业团队,150-500人,1-3年
Python开发工程师,本科,南宁,未融资,优趣工作室,移动互联网,4k-8k,西乡塘区,"创业,极客,技术驱动",15-50人,1-3年
高级Python工程师,本科,北京,不需要融资,微创,"移动互联网,电子商务",10k-15k,海淀区,六险一金 带薪年假 微软办公 弹性工作,2000人以上,3-5年
高级Python开发,本科,上海,不需要融资,坚果云,"企业服务,数据服务",20k-40k,浦东新区,"薪酬丰厚,扁平化管理,学习平台",50-150人,3-5年
Python/ Qt开发工程师,本科,广州,A轮,健康猫,移动互联网,6k-12k,天河区,"五险一金,带薪年假,年度旅游,培训拓展",500-2000人,1-3年
高级Python开发工程师,本科,北京,上市公司,Veeva,"移动互联网,企业服务",25k-35k,朝阳区,"纽交所上市,云计算,SaaS,生命科学",500-2000人,3-5年
python工程师,不限,长沙,未融资,万诸科技,"O2O,金融",6k-12k,岳麓区,"五险一金,包吃包住,弹性工作",15-50人,3-5年
Python开发工程师,本科,北京,D轮及以上,知乎,"移动互联网,社交网络",20k-40k,海淀区,一日三餐、Mac 办公、年底双薪,500-2000人,3-5年
Python工程师-赴深圳码隆科技,本科,深圳,不需要融资,微创,"移动互联网,电子商务",10k-20k,盐田区,"六险一金,带薪年假,节日福利,技术大牛",2000人以上,1-3年
Python开发工程师,本科,北京,D轮及以上,知乎,"移动互联网,社交网络",20k-40k,海淀区,一日三餐、Mac 办公、年底双薪,500-2000人,3-5年
高级Python开发工程师,本科,上海,D轮及以上,华云数据,"移动互联网,数据服务",18k-25k,杨浦区,云计算 高绩效,500-2000人,3-5年
Python开发工程师,大专,上海,不需要融资,趣头条,移动互联网,20k-35k,浦东新区,"六险一金,平均16薪,餐补,弹性上班",500-2000人,3-5年
高级Python开发,大专,上海,B轮,问卷网@爱调研,移动互联网,12k-24k,徐汇区,"季度旅游,带薪年假,下午茶,股票期权",150-500人,3-5年
Python高级开发工程师,本科,上海,不需要融资,君学中国,文化娱乐,8k-15k,浦东新区,"办公环境好,扁平化管理",150-500人,1-3年
高级Java/PHP/Python工程师,本科,北京,A轮,ZingFront智线,"移动互联网,数据服务",15k-24k,朝阳区,"带薪年假,福利多,办公环境好,氛围自由",50-150人,3-5年
Python,本科,深圳,A轮,乐易网络,"移动互联网,游戏",15k-30k,南山区,"海外手游,鹅厂大神,高配团队",150-500人,3-5年
Python,本科,宁波,未融资,新希望软件,"企业服务,生活服务",10k-15k,江北区,出国机会，上升空间，踏实做事，靠谱,50-150人,3-5年
Python开发工程师,本科,北京,B轮,学堂在线,"移动互联网,教育",20k-30k,海淀区,"五险一金,餐补,生日会,优秀团队",150-500人,3-5年
PYTHON高级开发工程师,不限,深圳,未融资,博奥特科技,"移动互联网,金融",18k-25k,罗湖区,"前景广阔,全新项目,提升空间大,项目背景强",150-500人,3-5年
python研发工程师,本科,北京,上市公司,CDS,移动互联网,15k-25k,海淀区,"薪酬福利好,云计算公司",150-500人,5-10年
Python工程师-金融事业部,本科,北京,A轮,普林科技,数据服务,10k-20k,海淀区,平台好，发展空间大,50-150人,1-3年
Python开发工程师,本科,广州,不需要融资,CNICG,移动互联网,9k-15k,南沙区,"专业团队,年终奖金,六险一金",50-150人,1-3年
python工程师,本科,北京,A轮,猎户星空,"移动互联网,硬件",15k-30k,朝阳区,大牛云集，人工智能，扁平管理,150-500人,1-3年
Python资深开发工程师,本科,上海,不需要融资,君学中国,文化娱乐,12k-24k,浦东新区,"扁平化管理,办公环境好",150-500人,3-5年
python工程师,本科,北京,A轮,猎户星空,"移动互联网,硬件",15k-30k,朝阳区,大牛云集，人工智能，扁平管理,150-500人,1-3年
Python开发工程师,大专,广州,上市公司,广州玖维信息科技有限公司,"移动互联网,数据服务",4k-6k,天河区,"双休,提成,五险一金,带薪休假",150-500人,1年以下
Python开发工程师,大专,北京,B轮,医渡云（北京）技术有限公司,"O2O,医疗健康",18K-35K,海淀区,"十四薪,带薪年假,免费三餐,租房补助",150-500人,3-5年
高级python工程师,大专,北京,B轮,新东方教育行业研究院,"移动互联网,教育",15k-30k,海淀区,"平台好,领导好,大牛多",150-500人,3-5年
高级Python开发工程师,大专,郑州,未融资,郑州创恒实业有限公司,移动互联网,7k-10k,金水区,高级,150-500人,1-3年
Python开发岗,本科,深圳,不需要融资,试金石信用,"数据服务,移动互联网",10k-20k,南山区,"福利好,大牛多",50-150人,1-3年
python开发工程师,不限,广州,上市公司,金科文化,移动互联网,10k-20k,天河区,"广告,大牛团队",150-500人,1-3年
Python开发工程师,本科,杭州,上市公司,京东金融,金融,15k-25k,,餐补+年终奖+良好的晋升空间,2000人以上,3-5年
Python开发工程师,本科,上海,上市公司,阅文集团,移动互联网,15k-25k,浦东新区,"团队好,发展快,福利全",500-2000人,5-10年
Python开发工程师,本科,深圳,天使轮,行云智能,"移动互联网,硬件",10k-20k,南山区,"扁平化管理,周末双休,年终奖,发展空间大",15-50人,1-3年
Python开发工程师,本科,深圳,天使轮,哈哈便利,"硬件,移动互联网",15k-30k,南山区,"创业公司,空间大,氛围好",15-50人,3-5年
python,本科,上海,不需要融资,江苏亿科达,"移动互联网,金融",8k-15k,浦东新区,"五险一金,旅游、体检,过节福利,生日礼金",500-2000人,3-5年
Python高级开发工程师,本科,深圳,A轮,乐格信息,"企业服务,数据服务",16k-30k,福田区,"精英团队,个人成长,外企文化,创业精神",150-500人,3-5年
Python工程师-赴码隆科技,本科,北京,不需要融资,微创,"移动互联网,电子商务",10k-15k,海淀区,"六险一金,带薪年假,节日福利,技术大牛",2000人以上,1-3年
Python工程师,本科,成都,上市公司,聚美优品,电子商务,10k-18k,高新区,"五险一金,餐饮补贴,节日福利",2000人以上,3-5年
python后台开发工程师,本科,深圳,不需要融资,顺丰科技有限公司,"移动互联网,电子商务",15k-30k,南山区,"挑战大,前景好,弹性上班,福利好",500-2000人,3-5年
Python研发工程师,本科,北京,B轮,妙计旅行,旅游,8k-16k,东城区,"免费三餐,晋升空间,福利待遇好",150-500人,1-3年
Python工程师,硕士,北京,B轮,菠萝理财,金融,10k-20k,朝阳区,"五险一金,年底双薪,弹性工作",15-50人,1-3年
Python开发工程师,大专,上海,C轮,驻云,"移动互联网,企业服务",15k-25k,浦东新区,"阿里云,晋升快,空间大",150-500人,3-5年
Python研发工程师,本科,上海,C轮,房多多,"移动互联网,O2O",15k-30k,闸北区,平台好，发展广阔，技术大牛多,2000人以上,1-3年
Python开发工程师,本科,北京,不需要融资,西贝,其他,8k-16k,朝阳区,"福利好,前景好,行业领先,创新",2000人以上,1-3年
Python开发工程师,本科,北京,未融资,原子钟,移动互联网,15k-25k,丰台区,"14薪,带薪年假,节日福利,机会多",少于15人,3-5年
Python,本科,上海,A轮,italki,"电子商务,教育",15k-30k,静安区,"国际团队,全球用户,在线教育,文化驱动",50-150人,5-10年
Python软件开发工程师,大专,广州,上市公司,广州玖维信息科技有限公司,"移动互联网,数据服务",4k-6k,天河区,"双休,提成,带薪休假,五险一金",150-500人,1年以下
Python工程师,不限,深圳,未融资,中安网域,"移动互联网,信息安全",6k-12k,南山区,"五险一金,节日福利,弹性工作",15-50人,1-3年
高级Python开发工程师,本科,北京,上市公司,Veeva,"移动互联网,企业服务",35k-45k,朝阳区,"纽交所上市,云计算,SaaS,股票",500-2000人,5-10年
高级Python开发工程师,本科,上海,不需要融资,musical.ly,"社交网络,文化娱乐",25k-50k,黄浦区,"大牛带你飞,零食不断,过亿用户",150-500人,3-5年
python开发工程师,本科,深圳,未融资,博奥特科技,"移动互联网,金融",15k-25k,福田区,"双休,晋升空间大,平台好,五险一金",150-500人,3-5年
高级Python开发工程师,本科,北京,B轮,Yi+,移动互联网,20k-40k,海淀区,"股票期权,绩效奖金,技术大牛,弹性工作",50-150人,3-5年
高级python研发工程师,本科,北京,B轮,云途腾,数据服务,20k-40k,海淀区,福利好 领导傻富甜 捎带手儿解决个人问题,50-150人,5-10年
python开发工程师,本科,上海,不需要融资,通联数据,金融,15k-30k,虹口区,"快速成长,薪资福利,行业大牛",150-500人,1-3年
Python开发工程师（码隆科技）,本科,北京,不需要融资,微创,"移动互联网,电子商务",10k-20k,海淀区,"六险一金,带薪病假,节假日福利,行业领先",2000人以上,1-3年
Python 开发工程师,本科,深圳,天使轮,SEEHAO123,移动互联网,10K-15K,福田区,"扁平化管理,奖金,提升空间",15-50人,3-5年
python开发高级工程师,本科,北京,上市公司,联想集团,"移动互联网,数据服务",18k-35k,海淀区,"福利全面,上市公司",2000人以上,3-5年
Python高级开发工程师,本科,南京,不需要融资,ivtime,"移动互联网,企业服务",15k-25k,江宁区,弹性工作无需打卡、氛围好福利好，学习机会,15-50人,3-5年
Python开发工程师,本科,深圳,不需要融资,盖威,金融,14k-20k,南山区,福利待遇好,150-500人,3-5年
高级python工程师,本科,北京,C轮,今日头条,"移动互联网,数据服务",25k-40k,海淀区,六险一金，高薪期权，弹性工作，免费三餐，租房补贴，休闲下午茶，扁平管理，团队氛围好，优厚薪资,2000人以上,3-5年
